                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 747  | 3243  | 523  | 2EB | KR  | Bh  | ennunbinpentoct                   | ennunbinpentoctal                   | EBP  |
| 748  | 3244  | 524  | 2EC | KS  | Bi  | maltetreleven                     | maltetrelevenary                    | MTL  |
| 749  | 3245  | 525  | 2ED | KT  | Bj  | heptunbintetraker's dozen         | heptunbintetraker's dozenal         | HNK  |
| 750  | 3250  | 526  | 2EE | KU  | Bk  | pentapentapentasex                | pentapentapentaseximal              | PPP  |
| 751  | 3251  | 527  | 2EF | KV  | Bl  | unpentapentapentasex              | unpentapentapentaseximal            | UPP  |
| 752  | 3252  | 528  | 2F0 | KW  | Bm  | tesserunbinbieleven               | tesserunbinbielevenary              | TBL  |
| 753  | 3253  | 529  | 2F1 | KX  | Bn  | trindecapentaquin                 | trindecapentaquinary                | TDP  |
| 754  | 3254  | 52E  | 2F2 | KY  | Bo  | bibakeruntetrasept                | bibakeruntetraseptimal              | BBK  |
| 755  | 3255  | 52X  | 2F3 | KZ  | Bp  | pentundecatriquin                 | pentundecatriquinary                | PTD  |
| 756  | 3300  | 530  | 2F4 | L0  | Bq  | triheptanift                      | triheptaniftimal                    | TPF  |
| 757  | 3301  | 531  | 2F5 | L1  | Br  | untriheptanift                    | untriheptaniftimal                  | URP  |
| 758  | 3302  | 532  | 2F6 | L2  | Bs  | binennahexasept                   | binennahexaseptimal                 | BXS  |
| 759  | 3303  | 533  | 2F7 | L3  | Bt  | henbilevasnatrieleven             | henbilevasnatrielevenary            | HLT  |
| 760  | 3304  | 534  | 2F8 | L4  | Bu  | icosibintrisex                    | icosibintriseximal                  | ISB  |
| 761  | 3305  | 535  | 2F9 | L5  | Bv  | unicosibintrisex                  | unicosibintriseximal                | UCB  |
| 762  | 3310  | 536  | 2FA | L6  | Bw  | hexunennabisept                   | hexunennabiseptimal                 | HXM  |
| 763  | 3311  | 537  | 2FB | L7  | Bx  | heptunennadozen                   | heptunennadozenal                   | HTD  |
| 764  | 3312  | 538  | 2FC | L8  | By  | tetrundecuntrisex                 | tetrundecuntriseximal               | TDS  |
| 765  | 3313  | 539  | 2FD | L9  | Bz  | malpentanon                       | malpentanonary                      | MTN  |
| 766  | 3314  | 53E  | 2FE | LA  | B-  | binbindecuntrisex                 | binbindecuntriseximal               | BDS  |
| 767  | 3315  | 53X  | 2FF | LB  | B_  | bakerunbintetrasept               | bakerunbintetraseptimal             | BST  |
| 768  | 3320  | 540  | 300 | LC  | C0  | tesserhexoct                      | tesserhexoctal                      | TXC  |
| 769  | 3321  | 541  | 301 | LD  | C1  | untesserhexoct                    | untesserhexoctal                    | USX  |
| 770  | 3322  | 542  | 302 | LE  | C2  | levaheptages                      | levaheptagesimal                    | LVG  |
| 771  | 3323  | 543  | 303 | LF  | C3  | trintesserhex                     | trintesserhex                       | TRIN |
| 772  | 3324  | 544  | 304 | LG  | C4  | tetrundozahex                     | tetrundozahex                       | TTZ  |
| 773  | 3325  | 545  | 305 | LH  | C5  | untetrundozahex                   | untetrundozahex                     | UTD  |
| 774  | 3330  | 546  | 306 | LI  | C6  | trihexunhexasept                  | trihexunhexaseptimal                | TXH  |
| 775  | 3331  | 547  | 307 | LJ  | C7  | pentapentunpentasex               | pentapentunpentaseximal             | PPS  |
| 776  | 3332  | 548  | 308 | LK  | C8  | octunoctodozen                    | octunoctodozenal                    | OTD  |
| 777  | 3333  | 549  | 309 | LL  | C9  | triheptunnift                     | triheptunniftimal                   | TPM  |
| 778  | 3334  | 54E  | 30A | LM  | CA  | bintetrunoctodozen                | bintetrunoctodozenal                | BRC  |
| 779  | 3335  | 54X  | 30B | LN  | CB  | hentrihexasnunpentoct             | hentrihexasnunpentoctal             | HRC  |
| 780  | 3340  | 550  | 30C | LO  | CC  | icositriker's dozen               | icositriker's dozenal               | IOR  |
| 781  | 3341  | 551  | 30D | LP  | CD  | levunheptages                     | levunheptagesimal                   | LNG  |
| 782  | 3342  | 552  | 30E | LQ  | CE  | henbilevasnabisubopt              | henbilevasnabisuboptimal            | HBB  |
| 783  | 3343  | 553  | 30F | LR  | CF  | triennuntetrasept                 | triennuntetraseptimal               | TSM  |
| 784  | 3344  | 554  | 310 | LS  | CG  | tesserheptasept                   | tesserheptaseptimal                 | TESR |
| 785  | 3345  | 555  | 311 | LT  | CH  | pentundozaker's dozen             | pentundozaker's dozenal             | PEZ  |
| 786  | 3350  | 556  | 312 | LU  | CI  | hexundecaker's dozen              | hexundecaker's dozenal              | HND  |
| 787  | 3351  | 557  | 313 | LV  | CJ  | unhexundecaker's dozen            | unhexundecaker's dozenal            | UHD  |
| 788  | 3352  | 558  | 314 | LW  | CK  | tetrunheptatetrasept              | tetrunheptatetraseptimal            | TETN |
| 789  | 3353  | 559  | 315 | LX  | CL  | trinbindecaker's dozen            | trinbindecaker's dozenal            | TBD  |
| 790  | 3354  | 55E  | 316 | LY  | CM  | decunhexaker's dozen              | decunhexaker's dozenal              | DCX  |
| 791  | 3355  | 55X  | 317 | LZ  | CN  | heptunheptahex                    | heptunheptahex                      | HEPT |
| 792  | 3400  | 560  | 318 | M0  | CO  | bilevanift                        | bilevaniftimal                      | BLF  |
| 793  | 3401  | 561  | 319 | M1  | CP  | bakerunhexages                    | bakerunhexagesimal                  | BKX  |
| 794  | 3402  | 562  | 31A | M2  | CQ  | binlevanift                       | binlevaniftimal                     | BNF  |
| 795  | 3403  | 563  | 31B | M3  | CR  | tripentuntetraker's dozen         | tripentuntetraker's dozenal         | TIK  |
| 796  | 3404  | 564  | 31C | M4  | CS  | tetrunlevatrisex                  | tetrunlevatriseximal                | TLV  |
| 797  | 3405  | 565  | 31D | M5  | CT  | untetrunlevatrisex                | untetrunlevatriseximal              | UTL  |
| 798  | 3410  | 566  | 31E | M6  | CU  | hentrihexasnahexasept             | hentrihexasnahexaseptimal           | HSH  |
| 799  | 3411  | 567  | 31F | M7  | CV  | malunbinbieleven                  | malunbinbielevenary                 | MNB  |
| 800  | 3412  | 568  | 320 | M8  | CW  | octocent                          | octocentesimal                      | OTS  |
| 801  | 3413  | 569  | 321 | M9  | CX  | ennunocteleven                    | ennunoctelevenary                   | ECL  |
| 802  | 3414  | 56E  | 322 | MA  | CY  | binicosiviges                     | binicosivigesimal                   | BCV  |
| 803  | 3415  | 56X  | 323 | MB  | CZ  | levunoctonon                      | levunoctononary                     | LEC  |
| 804  | 3420  | 570  | 324 | MC  | Ca  | dozunhexeleven                    | dozunhexelevenary                   | DZX  |
| 805  | 3421  | 571  | 325 | MD  | Cb  | henbilevasnapentasept             | henbilevasnapentaseptimal           | HLP  |
| 806  | 3422  | 572  | 326 | ME  | Cc  | bibakerunpentasex                 | bibakerunpentaseximal               | BBX  |
| 807  | 3423  | 573  | 327 | MF  | Cd  | trintetrunhexeleven               | trintetrunhexelevenary              | THL  |
| 808  | 3424  | 574  | 328 | MG  | Ce  | octuncent                         | octuncentesimal                     | ONS  |
| 809  | 3425  | 575  | 329 | MH  | Cf  | unoctuncent                       | unoctuncentesimal                   | UCC  |
| 810  | 3430  | 576  | 32A | MI  | Cg  | decennanon                        | decennanonary                       | DCR  |
| 811  | 3431  | 577  | 32B | MJ  | Ch  | undecennanon                      | undecennanonary                     | UNDC |
| 812  | 3432  | 578  | 32C | MK  | Ci  | tetraheptuntetrasept              | tetraheptuntetraseptimal            | TETH |
| 813  | 3433  | 579  | 32D | ML  | Cj  | trindecatrinon                    | trindecatrinonary                   | TRID |
| 814  | 3434  | 57E  | 32E | MM  | Ck  | bilevunnift                       | bilevunniftimal                     | BVF  |
| 815  | 3435  | 57X  | 32F | MN  | Cl  | pentunennatrisex                  | pentunennatriseximal                | PRS  |
| 816  | 3440  | 580  | 330 | MO  | Cm  | malhexoct                         | malhexoctal                         | MAX  |
| 817  | 3441  | 581  | 331 | MP  | Cn  | hentrihexasnunhexasept            | hentrihexasnunhexaseptimal          | HSX  |
| 818  | 3442  | 582  | 332 | MQ  | Co  | binmaltetrasex                    | binmaltetraseximal                  | BNM  |
| 819  | 3443  | 583  | 333 | MR  | Cp  | bakerheptanon                     | bakerheptanonary                    | BAKH |
| 820  | 3444  | 584  | 334 | MS  | Cq  | icosinpentoct                     | icosinpentoctal                     | ICP  |
| 821  | 3445  | 585  | 335 | MT  | Cr  | unicosinpentoct                   | unicosinpentoctal                   | UIN  |
| 822  | 3450  | 586  | 336 | MU  | Cs  | hexunoctosubopt                   | hexunoctosuboptimal                 | HCB  |
| 823  | 3451  | 587  | 337 | MV  | Ct  | unhexunoctosubopt                 | unhexunoctosuboptimal               | USB  |
| 824  | 3452  | 588  | 338 | MW  | Cu  | octunhexasubopt                   | octunhexasuboptimal                 | ONX  |
| 825  | 3453  | 589  | 339 | MX  | Cv  | pentapentatrieleven               | pentapentatrielevenary              | PPR  |
| 826  | 3454  | 58E  | 33A | MY  | Cw  | biheptunbintetrasept              | biheptunbintetraseptimal            | BTB  |
| 827  | 3455  | 58X  | 33B | MZ  | Cx  | unbiheptunbintetrasept            | unbiheptunbintetraseptimal          | UPS  |
| 828  | 3500  | 590  | 33C | N0  | Cy  | henbilevasnanift                  | henbilevasnaniftimal                | HBF  |
| 829  | 3501  | 591  | 33D | N1  | Cz  | unhenbilevasnanift                | unhenbilevasnaniftimal              | UVS  |
| 830  | 3502  | 592  | 33E | N2  | C-  | decunbinpentoct                   | decunbinpentoctal                   | DBP  |
| 831  | 3503  | 593  | 33F | N3  | C_  | trindozunbieleven                 | trindozunbielevenary                | TZN  |
| 832  | 3504  | 594  | 340 | N4  | D0  | tessertetraker's dozen            | tessertetraker's dozenal            | TKR  |
| 833  | 3505  | 595  | 341 | N5  | D1  | malheptasept                      | malheptaseptimal                    | MHP  |
| 834  | 3510  | 596  | 342 | N6  | D2  | hexunhexunbieleven                | hexunhexunbielevenary               | HXL  |
| 835  | 3511  | 597  | 343 | N7  | D3  | pentunbinbinpentoct               | pentunbinbinpentoctal               | PBB  |
| 836  | 3512  | 598  | 344 | N8  | D4  | hentrihexasnatetreleven           | hentrihexasnatetrelevenary          | HSR  |
| 837  | 3513  | 599  | 345 | N9  | D5  | triennunpentasex                  | triennunpentaseximal                | TXM  |
| 838  | 3514  | 59E  | 346 | NA  | D6  | binhentrihexasnabieleven          | binhentrihexasnabielevenary         | BRX  |
| 839  | 3515  | 59X  | 347 | NB  | D7  | unbinhentrihexasnabieleven        | unbinhentrihexasnabielevenary       | UBX  |
| 840  | 3520  | 5E0  | 348 | NC  | D8  | icosihexasept                     | icosihexaseptimal                   | ICH  |
| 841  | 3521  | 5E1  | 349 | ND  | D9  | hentetraheptasnuntetrasept        | hentetraheptasnuntetraseptimal      | HSS  |
| 842  | 3522  | 5E2  | 34A | NE  | DA  | binicositrisept                   | binicositriseptimal                 | BCM  |
| 843  | 3523  | 5E3  | 34B | NF  | DB  | trinbiheptaviges                  | trinbiheptavigesimal                | TIV  |
| 844  | 3524  | 5E4  | 34C | NG  | DC  | tetrundecatrisept                 | tetrundecatriseptimal               | TCP  |
| 845  | 3525  | 5E5  | 34D | NH  | DD  | bakerpentaker's dozen             | bakerpentaker's dozenal             | BPK  |
| 846  | 3530  | 5E6  | 34E | NI  | DE  | trihexunbinbieleven               | trihexunbinbielevenary              | TXL  |
| 847  | 3531  | 5E7  | 34F | NJ  | DF  | levahepteleven                    | levaheptelevenary                   | LHL  |
| 848  | 3532  | 5E8  | 350 | NK  | DG  | tesseruntetraker's dozen          | tesseruntetraker's dozenal          | TNK  |
| 849  | 3533  | 5E9  | 351 | NL  | DH  | trinhexunbinbieleven              | trinhexunbinbielevenary             | THV  |
| 850  | 3534  | 5EE  | 352 | NM  | DI  | malpentages                       | malpentagesimal                     | MAG  |
| 851  | 3535  | 5EX  | 353 | NN  | DJ  | henbilevasnunnift                 | henbilevasnunniftimal               | HLF  |
| 852  | 3540  | 5X0  | 354 | NO  | DK  | dozunheptages                     | dozunheptagesimal                   | DOG  |
| 853  | 3541  | 5X1  | 355 | NP  | DL  | undozunheptages                   | undozunheptagesimal                 | UNG  |
| 854  | 3542  | 5X2  | 356 | NQ  | DM  | biheptunhexages                   | biheptunhexagesimal                 | BPX  |
| 855  | 3543  | 5X3  | 357 | NR  | DN  | hentrihexasnapentanon             | hentrihexasnapentanonary            | HENT |
| 856  | 3544  | 5X4  | 358 | NS  | DO  | octunbintetraker's dozen          | octunbintetraker's dozenal          | OBT  |
| 857  | 3545  | 5X5  | 359 | NT  | DP  | unoctunbintetraker's dozen        | unoctunbintetraker's dozenal        | UOB  |
| 858  | 3550  | 5X6  | 35A | NU  | DQ  | bakerhexeleven                    | bakerhexelevenary                   | BHL  |
| 859  | 3551  | 5X7  | 35B | NV  | DR  | unbakerhexeleven                  | unbakerhexelevenary                 | UKH  |
| 860  | 3552  | 5X8  | 35C | NW  | DS  | icosinhexasept                    | icosinhexaseptimal                  | IOH  |
| 861  | 3553  | 5X9  | 35D | NX  | DT  | triheptunpentoct                  | triheptunpentoctal                  | TRIH |
| 862  | 3554  | 5XE  | 35E | NY  | DU  | bindecunhexasept                  | bindecunhexaseptimal                | BDH  |
| 863  | 3555  | 5XX  | 35F | NZ  | DV  | unbindecunhexasept                | unbindecunhexaseptimal              | UDX  |
| 864  | 4000  | 600  | 360 | O0  | DW  | tetrahexanift                     | tetrahexaniftimal                   | TFM  |
| 865  | 4001  | 601  | 361 | O1  | DX  | pentuntetrunhexasept              | pentuntetrunhexaseptimal            | PRH  |
| 866  | 4002  | 602  | 362 | O2  | DY  | bindozanift                       | bindozaniftimal                     | BDF  |
| 867  | 4003  | 603  | 363 | O3  | DZ  | maltrisubopt                      | maltrisuboptimal                    | MLS  |
| 868  | 4004  | 604  | 364 | O4  | Da  | tetraheptunpentasex               | tetraheptunpentaseximal             | TERH |
